draw,gene_id,gene_name,rank,in_top_10
544,dd_Smed_v6_15253_0_1,pitx,29,False
544,dd_Smed_v6_17476_0_1,dd17476,47,False
544,dd_Smed_v6_7227_0_1,dd7227,41,False
544,dd_Smed_v6_16646_0_1,dd16646,40,False
544,dd_Smed_v6_11893_0_1,dd11893,17,False
544,dd_Smed_v6_33456_0_1,dd33456,21,False
544,dd_Smed_v6_18422_0_1,dd18422,18,False
544,dd_Smed_v6_46523_0,dd46523,55,False
544,dd_Smed_v6_13704_0_1,ptf-4,72,False
544,dd_Smed_v6_33575_0_1,dd33575,52,False
544,dd_Smed_v6_16524_0_1,dd16524,64,False
544,dd_Smed_v6_9287_0_1,dd9287,74,False
544,dd_Smed_v6_14753_0_1,ascl-2,54,False
544,dd_Smed_v6_10911_0_1,dd10911,57,False
544,dd_Smed_v6_13898_0_1,nkx2-like,73,False
544,dd_Smed_v6_7033_0_1,dd7033,48,False
544,dd_Smed_v6_16466_0_1,dd16466,44,False
544,dd_Smed_v6_16124_0_1,runt-1,62,False
544,dd_Smed_v6_14633_0_1,otxA,65,False
544,dd_Smed_v6_37276_0_1,dd37276,36,False
544,dd_Smed_v6_52497_0_1,hmx-1,58,False
544,dd_Smed_v6_1399_0_1,dd1399,60,False
544,dd_Smed_v6_25769_0_1,dd25769,53,False
544,dd_Smed_v6_48430_0_1,ovo,82,False
544,dd_Smed_v6_19286_0_1,dd19286,46,False
544,dd_Smed_v6_15104_0_1,ap2,63,False
544,dd_Smed_v6_49988_0_1,dd49988,42,False
544,dd_Smed_v6_13056_0_1,tcf1,83,False
544,dd_Smed_v6_15555_0_1,pou4l-1,69,False
544,dd_Smed_v6_15144_0_1,lhx2/9,61,False
544,dd_Smed_v6_2442_0_1,dd2442,87,False
544,dd_Smed_v6_8104_0_1,soxB1-2 (not deposited),75,False
544,dd_Smed_v6_10038_0_1,"Schmidtea mediterranea Zeb-1 mRNA, complete cds",91,False
544,dd_Smed_v6_6114_0_1,dd6114,66,False
544,dd_Smed_v6_17731_0_1,sim,67,False
544,dd_Smed_v6_17726_0_1,Pax6A,77,False
544,dd_Smed_v6_38033_0_1,dd38033,90,False
544,dd_Smed_v6_9893_0_1,coe,94,False
544,dd_Smed_v6_18719_0_1,dd18719,81,False
544,dd_Smed_v6_14362_0_1,dd14362,68,False
544,dd_Smed_v6_17534_0_1,arh,71,False
544,dd_Smed_v6_12617_0_1,dd12617,59,False
544,dd_Smed_v6_58909_0_1,gata4/5/6-3,86,False
544,dd_Smed_v6_13215_0_1,soxB,88,False
544,dd_Smed_v6_17498_0_1,dd17498,78,False
544,dd_Smed_v6_15473_0_1,dd15473,84,False
544,dd_Smed_v6_10219_0_1,dd10219,80,False
544,dd_Smed_v6_13772_0_1,PROX-1,76,False
544,dd_Smed_v6_20755_0_1,dd20755,56,False
544,dd_Smed_v6_11935_0_1,dd11935,97,False
544,dd_Smed_v6_18972_0_1,dd18972,96,False
544,dd_Smed_v6_6470_0_1,tbx2/3b,95,False
544,dd_Smed_v6_9460_0_2,dd9460,70,False
544,dd_Smed_v6_6778_0_1,dd6778,98,False
544,dd_Smed_v6_14315_0_1,dd14937,93,False
544,dd_Smed_v6_8820_0_1,islet1,92,False
